ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS
293,77,162,652,5475,1400,1023,228,38,111,537,952,83,73,0,537,0,4075,3123,705,0.255707763,0.322188955,0.372054795,0.69424375
295,90,162,747,5582,1544,1138,275,27,104,527,834,123,74,0,527,0,4038,3204,653,0.276603368,0.339008021,0.391436761,0.730444782
297,68,162,724,5569,1463,962,322,31,148,463,1135,68,30,71,534,51,4106,2971,846,0.262704256,0.324504387,0.41138445,0.735888837
299,83,162,750,5562,1549,1131,252,26,140,461,607,79,51,0,461,0,4013,3406,698,0.278496944,0.333720737,0.408665948,0.742386685
301,82,162,720,5409,1355,831,318,47,159,587,1287,58,23,49,636,43,4054,2767,706,0.250508412,0.327036794,0.414864115,0.741900909
303,85,162,771,5560,1514,984,328,38,164,495,1083,146,67,64,559,38,4046,2963,766,0.272302158,0.336689946,0.433453237,0.770143184
305,93,162,814,5450,1469,964,274,32,199,529,1089,91,35,65,594,50,3981,2892,684,0.269541284,0.338529701,0.441100917,0.779630619
307,85,161,993,5668,1625,1018,343,19,245,670,1052,90,39,0,670,0,4043,2991,895,0.286697248,0.362101609,0.483592096,0.845693705
309,67,162,738,5535,1475,952,310,35,178,476,1048,58,48,29,505,34,4060,3012,902,0.266485998,0.325979585,0.431616983,0.757596568
311,68,161,603,5446,1316,977,193,53,93,534,770,100,58,0,534,0,4130,3360,681,0.241645244,0.309364548,0.347778186,0.657142734
313,69,144,615,4950,1296,909,263,30,94,497,884,72,25,0,497,0,3654,2770,658,0.261818182,0.329172021,0.384040404,0.713212425
315,76,162,647,5472,1335,938,228,49,120,500,909,106,75,0,500,0,4137,3228,660,0.243969298,0.307267247,0.369334795,0.676602042
317,60,108,443,3591,883,628,146,28,81,368,498,138,40,0,368,0,2708,2210,394,0.245892509,0.315988886,0.369813422,0.685802309
319,87,162,691,5472,1417,1055,226,28,108,539,682,86,69,0,539,0,4055,3373,666,0.258954678,0.325403427,0.369700292,0.695103719
321,78,162,666,5505,1435,1038,235,28,134,416,866,97,50,0,416,0,4070,3204,731,0.260672116,0.312616112,0.386557675,0.699173787
323,89,162,789,5572,1512,1023,289,20,180,535,1015,118,39,80,615,39,4060,3045,727,0.271356784,0.341631866,0.427315147,0.768947014
325,85,162,899,5620,1546,1048,282,38,178,765,1122,104,63,0,765,0,4074,2952,837,0.275088968,0.361942052,0.433807829,0.795749881
327,66,161,570,5396,1326,1030,170,38,88,511,909,62,61,0,511,0,4070,3161,655,0.245737583,0.310986965,0.340252039,0.651239003
329,56,162,615,5598,1442,1010,309,28,95,401,1164,118,33,46,447,37,4156,2992,796,0.257591997,0.310588622,0.373704895,0.684293517
331,84,161,633,5429,1342,933,242,49,118,492,880,169,77,0,492,0,4087,3207,636,0.247191011,0.309744976,0.375023024,0.684768
333,74,162,605,5458,1408,1062,231,45,70,434,743,178,59,0,434,0,4050,3307,634,0.257969952,0.312627291,0.355258336,0.667885628
335,78,162,651,5526,1447,1034,262,45,106,415,749,118,81,0,415,0,4079,3330,701,0.261853058,0.31341525,0.383098082,0.696513332
337,71,162,593,5417,1284,904,247,42,91,501,1320,170,44,48,549,47,4133,2813,611,0.237031567,0.304839514,0.348532398,0.653371912
339,69,162,772,5586,1531,1085,272,29,145,544,1042,73,49,0,544,0,4055,3013,913,0.274078052,0.338499184,0.411027569,0.749526753
341,96,162,811,5604,1504,994,305,27,178,590,1202,72,41,80,670,59,4100,2898,704,0.268379729,0.343281225,0.427730193,0.771011418
343,68,162,699,5572,1413,933,296,26,158,466,1062,86,61,62,528,41,4159,3097,778,0.253589375,0.316072301,0.401112706,0.717185007
345,82,161,644,5436,1395,1013,237,28,117,498,1087,126,40,45,543,43,4041,2954,612,0.256622517,0.321819993,0.375091979,0.696911973
347,86,162,835,5510,1472,968,284,39,181,483,984,113,67,0,483,0,4038,3054,751,0.267150635,0.326213916,0.431397459,0.757611375
349,84,161,770,5499,1397,859,302,28,208,543,1371,76,28,69,612,46,4102,2731,767,0.25404619,0.326295274,0.432624113,0.758919387
351,91,162,771,5655,1499,1043,285,24,147,601,1014,109,55,0,601,0,4156,3142,682,0.265075155,0.335677749,0.401945181,0.737622931
353,75,161,690,5496,1409,989,238,22,160,486,1044,87,42,63,549,30,4087,3043,703,0.256368268,0.322304527,0.395014556,0.717319083
355,86,161,712,5451,1432,959,284,22,167,449,1051,114,52,52,501,41,4019,2968,743,0.262704091,0.322542967,0.414786278,0.737329245
357,84,162,652,5433,1369,1025,225,44,75,516,924,220,71,0,516,0,4064,3140,645,0.251978649,0.316859976,0.351003129,0.667863105
359,94,162,713,5527,1315,821,267,32,195,550,1387,122,32,45,595,34,4212,2825,614,0.237922924,0.310266407,0.403654786,0.713921192
361,77,160,554,5465,1313,966,241,17,89,507,885,81,54,0,507,0,4152,3267,536,0.240256176,0.304755526,0.339432754,0.64418828
363,72,161,680,5483,1428,980,267,39,142,415,1066,63,40,95,510,42,4055,2989,744,0.260441364,0.321126761,0.401057815,0.722184576
365,54,115,521,3927,1028,712,208,28,80,396,711,67,24,0,396,0,2899,2188,497,0.261777438,0.329400879,0.390119684,0.719520563
367,89,163,707,5516,1445,1031,256,45,113,537,852,156,43,0,537,0,4071,3219,670,0.261965192,0.327440938,0.386149384,0.713590322
369,94,162,634,5486,1345,876,273,35,161,469,1330,94,42,88,557,29,4141,2811,577,0.245169522,0.313241107,0.395734597,0.708975704
371,75,162,619,5494,1285,868,241,27,149,466,1259,104,35,30,496,35,4209,2950,651,0.233891518,0.29560166,0.368947943,0.664549603
373,85,162,829,5703,1539,1043,288,31,177,596,1039,102,50,0,596,0,4164,3125,814,0.269857969,0.338942689,0.424338068,0.763280757
375,59,103,464,3537,936,683,158,45,50,379,495,88,45,0,379,0,2601,2106,417,0.264631043,0.335801839,0.377155782,0.71295762
377,88,162,703,5433,1358,974,213,28,143,588,841,87,42,0,588,0,4075,3234,658,0.249953985,0.323202126,0.378428124,0.70163025
379,76,162,616,5555,1390,1071,213,26,80,568,809,87,45,0,568,0,4165,3356,652,0.250225023,0.319777887,0.341134113,0.660912
381,62,161,617,5361,1359,976,213,41,129,530,819,130,76,0,530,0,4002,3183,785,0.253497482,0.320658632,0.380712554,0.701371185
383,74,162,645,5452,1330,907,280,29,114,509,1094,117,43,50,559,57,4122,3028,679,0.243947175,0.311305208,0.368672047,0.679977255
385,78,162,813,5581,1457,927,305,38,187,522,1142,71,18,53,575,57,4124,2982,828,0.261064325,0.327056173,0.429851281,0.756907454
387,91,162,669,5545,1422,1032,208,37,145,429,1011,89,40,0,429,0,4123,3112,578,0.25644725,0.309842651,0.385752931,0.695595582
389,37,106,329,3521,797,576,137,23,61,284,556,66,57,0,284,0,2724,2168,466,0.226356149,0.284099869,0.330303891,0.61440376
391,75,162,707,5549,1482,1055,267,50,110,536,972,92,55,0,536,0,4067,3095,806,0.267075149,0.331635168,0.392683366,0.724318535
393,89,160,734,5421,1443,1027,226,40,150,509,590,65,46,0,509,0,3978,3388,672,0.26618705,0.329173693,0.405644715,0.734818408
